palabra,categoria,total_1960,total_1970,total_1980,total_1990,total_2000,total_2010,total_2020
abnormalities,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
theatrics,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
sawquite,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
eucalyptus,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,1.0
fragrancesand,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
licoriceand,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
babybaby,NOUN,0.0,0.0,0.0,1.0,0.0,1.0,0.0
isaw,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
thetower,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
swingset,NOUN,0.0,0.0,0.0,1.0,1.0,0.0,0.0
tionla,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
decompress,NOUN,0.0,0.0,0.0,1.0,0.0,1.0,0.0
warpath,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,2.0
redheads,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
wristsa,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
calendars,NOUN,0.0,0.0,0.0,1.0,1.0,2.0,0.0
bmexcellent,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
oksecrets,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
dadadadadaa,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
dadadadaa,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
speedballs,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,1.0
mellenium,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
shtick,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
rottenness,ADJ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
onlyif,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
poltergeist,NOUN,0.0,0.0,0.0,1.0,3.0,2.0,0.0
dadadadadadidada,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
accuser,ADJ,0.0,0.0,0.0,1.0,0.0,1.0,0.0
eggshells,NOUN,0.0,0.0,0.0,1.0,3.0,0.0,0.0
plicemen,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ahhhhhhhhhh,ADJ,0.0,0.0,0.0,1.0,1.0,0.0,0.0
dumbstruck,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,2.0
christamine,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
cruth,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
whitout,NOUN,0.0,0.0,0.0,1.0,1.0,0.0,0.0
simpsons,NOUN,0.0,0.0,0.0,1.0,0.0,2.0,1.0
inalienable,ADJ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
payload,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hedges,NOUN,0.0,0.0,0.0,1.0,3.0,1.0,0.0
prototypes,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
amateur,ADJ,0.0,0.0,0.0,1.0,7.0,1.0,0.0
ulcer,NOUN,0.0,0.0,0.0,1.0,3.0,0.0,0.0
themgo,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ohaaa,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
pigskin,NOUN,0.0,0.0,0.0,1.0,1.0,0.0,0.0
yuppies,NOUN,0.0,0.0,0.0,1.0,1.0,0.0,0.0
starcause,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
honeybees,NOUN,0.0,0.0,0.0,1.0,1.0,1.0,0.0
jingles,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
helicopters,NOUN,0.0,0.0,0.0,1.0,7.0,3.0,3.0
niece,NOUN,0.0,0.0,0.0,1.0,8.0,5.0,4.0
arestill,ADJ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
livinout,ADJ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
spasm,NOUN,0.0,0.0,0.0,1.0,2.0,0.0,1.0
fuckface,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
wiff,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
numbskull,ADJ,0.0,0.0,0.0,1.0,1.0,0.0,0.0
output,NOUN,0.0,0.0,0.0,1.0,1.0,0.0,0.0
endslight,ADJ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
selfrighteous,ADJ,0.0,0.0,0.0,1.0,5.0,0.0,0.0
tumors,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
adolescence,NOUN,0.0,0.0,0.0,1.0,2.0,0.0,0.0
caretaker,NOUN,0.0,0.0,0.0,1.0,1.0,0.0,0.0
intoxications,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
thinkedbefore,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ambission,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
musicthats,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
youhavin,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
phoneys,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
lurk,NOUN,0.0,0.0,0.0,1.0,2.0,1.0,0.0
cigarrettes,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
buggy,ADJ,0.0,0.0,0.0,1.0,0.0,0.0,1.0
dеad,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
aroundbecause,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
exitement,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
boomer,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,4.0
mathematic,ADJ,0.0,0.0,0.0,1.0,1.0,1.0,0.0
breakdowns,NOUN,0.0,0.0,0.0,1.0,1.0,1.0,0.0
fovever,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
catastrophes,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
creole,NOUN,0.0,0.0,0.0,1.0,30.0,1.0,3.0
ggoo,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
refutation,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
jingletownhome,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
egde,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
guna,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
willbear,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
cristophe,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
runningjust,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
charlatans,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
mucky,ADJ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
frontpage,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ultraviolence,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,25.0
repulsive,ADJ,0.0,0.0,0.0,1.0,1.0,0.0,3.0
stradle,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
pilchards,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
cigaretes,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
onscreen,ADJ,0.0,0.0,0.0,1.0,0.0,3.0,0.0
youbecause,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
wallit,ADJ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
terrifies,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
mashthe,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
tramlines,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
disappointing,ADJ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nowtake,ADJ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
areso,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
morethan,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
upchief,ADJ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
gunge,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
dropif,ADJ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
opportunistdo,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hens,NOUN,0.0,0.0,0.0,1.0,0.0,1.0,0.0
harpies,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
healthier,ADJ,0.0,0.0,0.0,1.0,0.0,1.0,0.0
antibiotics,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
mains,NOUN,0.0,0.0,0.0,1.0,3.0,1.0,3.0
stalagmites,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
chittychat,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
willlay,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
willrise,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
becuse,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
coffies,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
appliances,NOUN,0.0,0.0,0.0,1.0,2.0,0.0,0.0
anway,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
plasters,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
houseflies,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
pragmatism,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,1.0
schedules,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
idealism,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
cheats,NOUN,0.0,0.0,0.0,1.0,12.0,1.0,3.0
pitterpat,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
salesmen,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ambush,NOUN,0.0,0.0,0.0,1.0,3.0,0.0,0.0
keyhole,NOUN,0.0,0.0,0.0,1.0,2.0,0.0,1.0
dusts,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
unpulls,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
anyay,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
imfi,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
playback,NOUN,0.0,0.0,0.0,1.0,5.0,1.0,0.0
björk,NOUN,0.0,0.0,0.0,1.0,0.0,1.0,0.0
borboleta,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
iluminar,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
encantar,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
estrelinhae,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
abelhinhae,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
virar,NOUN,0.0,0.0,0.0,1.0,1.0,0.0,0.0
distractors,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
thwacks,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
rotworms,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
distractor,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
cambell,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
butterfingers,NOUN,0.0,0.0,0.0,1.0,1.0,0.0,0.0
runnningbut,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
restnobody,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
grinour,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
meis,NOUN,0.0,0.0,0.0,1.0,1.0,0.0,0.0
mewhenever,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
cominghow,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
backwe,NOUN,0.0,0.0,0.0,1.0,2.0,0.0,0.0
landfill,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
irmãos,ADJ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
answerphone,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
painkillers,NOUN,0.0,0.0,0.0,1.0,12.0,2.0,1.0
chancei,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
awaydo,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ownsyour,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
overyour,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
stretchy,ADJ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
polystyrene,NOUN,0.0,0.0,0.0,1.0,1.0,1.0,0.0
flipflop,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,4.0
shutdown,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,6.0
contemporaries,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
employee,NOUN,0.0,0.0,0.0,1.0,5.0,0.0,0.0
gunboat,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
surfaces,NOUN,0.0,0.0,0.0,1.0,0.0,1.0,0.0
backcatalogue,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
facelifts,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
facsimile,ADJ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
supercollider,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
cathode,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
motheaten,ADJ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
offences,NOUN,0.0,0.0,0.0,1.0,2.0,2.0,0.0
rudders,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
pixelation,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
comunication,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
heliomoon,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
explosives,NOUN,0.0,0.0,0.0,1.0,3.0,1.0,0.0
facetoface,NOUN,0.0,0.0,0.0,1.0,1.0,0.0,0.0
fromno,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ninetypounds,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
creepdown,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
tvwant,ADJ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
taylors,NOUN,0.0,0.0,0.0,1.0,0.0,1.0,0.0
hybrids,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
stanzae,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
muovi,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
pazienzala,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
matu,ADJ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nodo,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
taboos,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
arrende,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
sciogli,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
sogni,NOUN,0.0,0.0,0.0,1.0,0.0,1.0,0.0
bambinae,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
vetrinasi,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
amara,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
tuoi,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
fianchiche,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
tolife,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
kleins,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
vestito,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
giàchi,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
coglie,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
sorella,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
flunkie,NOUN,0.0,0.0,0.0,1.0,2.0,0.0,0.0
ringleader,NOUN,0.0,0.0,0.0,1.0,3.0,0.0,0.0
escapeescape,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hisservants,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
dippedcos,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
extortionist,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
madeand,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
confessionals,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
tinseltown,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
letterbomb,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
cholo,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hifidelity,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
choosers,NOUN,0.0,0.0,0.0,1.0,0.0,1.0,0.0
mutt,NOUN,0.0,0.0,0.0,1.0,6.0,0.0,0.0
diconnection,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
creppycrawl,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
holywood,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
pardons,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
palliation,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
trellis,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,2.0
unbattened,ADJ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
sleepers,NOUN,0.0,0.0,0.0,1.0,5.0,3.0,1.0
hatters,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
demarcation,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
uncredited,ADJ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
salacious,ADJ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
readorn,ADJ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
cosplay,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,1.0
foos,NOUN,0.0,0.0,0.0,1.0,1.0,0.0,0.0
wopper,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
decisive,ADJ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
mobility,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
fertility,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
agility,NOUN,0.0,0.0,0.0,1.0,1.0,0.0,0.0
hoosegow,NOUN,0.0,0.0,0.0,1.0,0.0,1.0,0.0
scallywag,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
flagrant,NOUN,0.0,0.0,0.0,1.0,3.0,1.0,0.0
softtooth,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
sodapop,ADJ,0.0,0.0,0.0,1.0,2.0,0.0,0.0
hideway,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
brads,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
masochists,NOUN,0.0,0.0,0.0,1.0,0.0,1.0,0.0
equilibrium,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
anddeals,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
regression,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
espone,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
chiedi,ADJ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
trucchi,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
puòe,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
crederàc,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
urla,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
bellache,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
gobetween,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
codependent,NOUN,0.0,0.0,0.0,1.0,1.0,1.0,0.0
aloner,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
codependant,ADJ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
pollocks,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
funkysound,ADJ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
impassible,ADJ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
rathbone,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
tabernacle,NOUN,0.0,0.0,0.0,1.0,1.0,2.0,0.0
steadiness,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
theoretical,ADJ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
bares,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
houryou,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
suburbanites,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
wiash,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
dyer,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
beltsander,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
reprecussions,NOUN,0.0,0.0,0.0,1.0,1.0,0.0,0.0
precocious,ADJ,0.0,0.0,0.0,1.0,2.0,0.0,4.0
mumbai,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
standingby,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
remake,NOUN,0.0,0.0,0.0,1.0,1.0,0.0,2.0
gdp,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
dislogic,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
smut,NOUN,0.0,0.0,0.0,1.0,1.0,0.0,0.0
dreamingof,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
eccentrics,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
buch,ADJ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
weirder,ADJ,0.0,0.0,0.0,1.0,3.0,0.0,0.0
cemitery,NOUN,0.0,0.0,0.0,1.0,1.0,0.0,0.0
trax,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
coffe,ADJ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ponssibility,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nondenominational,ADJ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
gunsshot,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
kissedas,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
liarbut,ADJ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
stail,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
toxin,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
corona,NOUN,0.0,0.0,0.0,1.0,8.0,2.0,4.0
capucino,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
yeyo,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
thecorners,NOUN,0.0,0.0,0.0,1.0,1.0,0.0,0.0
blowout,NOUN,0.0,0.0,0.0,1.0,2.0,0.0,0.0
chancer,NOUN,0.0,0.0,0.0,1.0,0.0,1.0,0.0
boulevardspontaneous,ADJ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
diabolic,ADJ,0.0,0.0,0.0,1.0,1.0,0.0,0.0
prodies,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
herе,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,1.0
sac,NOUN,0.0,0.0,0.0,1.0,2.0,1.0,0.0
deabeat,ADJ,0.0,0.0,0.0,1.0,2.0,0.0,0.0
oldest,ADJ,0.0,0.0,0.0,1.0,5.0,6.0,1.0
tongueless,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
prayayyy,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
slammers,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
myworld,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
stargazers,NOUN,0.0,0.0,0.0,1.0,1.0,0.0,0.0
deviot,NOUN,0.0,0.0,0.0,1.0,1.0,0.0,0.0
gameexistence,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
photobomb,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
melodramatic,ADJ,0.0,0.0,0.0,1.0,0.0,0.0,1.0
medoes,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
therebecause,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
tenton,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
masterkeyis,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
wooow,NOUN,0.0,0.0,0.0,1.0,2.0,1.0,0.0
yourselfno,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
sniffs,NOUN,0.0,0.0,0.0,1.0,1.0,0.0,0.0
shittalking,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
indoors,NOUN,0.0,0.0,0.0,1.0,3.0,4.0,0.0
newports,NOUN,0.0,0.0,0.0,1.0,3.0,0.0,1.0
executions,NOUN,0.0,0.0,0.0,1.0,1.0,0.0,0.0
delerium,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
thecolor,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
videogames,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
bumfuck,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
heirlooms,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
headlock,NOUN,0.0,0.0,0.0,1.0,10.0,2.0,1.0
underpass,ADJ,0.0,0.0,0.0,1.0,0.0,1.0,0.0
averages,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
youor,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
subjective,ADJ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
orafice,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
acrobats,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
frontal,ADJ,0.0,0.0,0.0,1.0,2.0,0.0,1.0
unshakable,ADJ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ieii,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
crosstops,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
listendoes,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
perins,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
refão,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
strangles,NOUN,0.0,0.0,0.0,1.0,2.0,0.0,0.0
stability,NOUN,0.0,0.0,0.0,1.0,0.0,1.0,0.0
mattеr,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ligas,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
eggo,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,1.0
hamps,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
peripheral,ADJ,0.0,0.0,0.0,1.0,2.0,6.0,1.0
freeeeeeak,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
panache,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
keebler,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
propensity,NOUN,0.0,0.0,0.0,1.0,2.0,0.0,0.0
hampty,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
layman,NOUN,0.0,0.0,0.0,1.0,0.0,0.0,0.0
